Version,Family,Scientific name,Previously,As of the stated version,Date
1.2,Orobanchaceae,Kopsiopsis hookeri,Under evaluation,Accepted,3/29/2012
1.2,Orobanchaceae,Kopsiopsis strobilacea,Under evaluation,Accepted,3/29/2012
1.2,Pinaceae,Pinus ponderosa var. ponderosa,Accepted,Synonym/Accepted,3/29/2012
1.2,Plantaginaceae,Chaenorhinum minus,Accepted,Excluded,3/29/2012
1.2,Primulaceae,Cyclamen hederifolium,Under evaluation,Accepted,3/29/2012
1.2,Rosaceae,Malus floribunda,Accepted,Excluded,3/29/2012
1.2,Rosaceae,Photinia serratifolia,Accepted,Evaluate,3/29/2012
1.2,Rosaceae,Rubus illecebrosus,Accepted,Excluded,3/29/2012
1.2,Salicaceae,Populus angustifolia,Accepted,Excluded,3/29/2012
1.2,Salicaceae,Salix ×sepulcralis,Accepted,Synonym of Salix ×pendulina,3/29/2012
1.2,Salicaceae,Salix eastwoodiae  × Salix glauca var. villosa,Under evaluation,Accepted,3/29/2012
1.2,Salicaceae,Salix jepsonii,Accepted,Synonym of Salix sitchensis var. angustifolia,3/29/2012
1.2,Salicaceae,Salix orestera,Accepted,Synonym of Salix glauca var. villosa,3/29/2012
1.2,Salicaceae,Salix planifolia,Accepted (terminal),Accepted (not terminal),3/29/2012
1.2,Salicaceae,Salix planifolia var. monica,Synonym of Salix phylicifolia var. monica,Accepted,3/29/2012
1.2,Salicaceae,Salix planifolia var. planifolia,Under evaluation,Accepted,3/29/2012
1.2,Salicaceae,Salix purpurea,Excluded,Accepted,3/29/2012
1.2,Salicaceae,Salix sitchensis,Accepted (terminal),Accepted (not terminal),3/29/2012
1.2,Salicaceae,Salix sitchensis var. angustifolia,Synonym of Salix jepsonii,Accepted,3/29/2012
1.2,Salicaceae,Salix sitchensis var. sitchensis,Synonym of Salix sitchensis,Accepted,3/29/2012
1.2,Salicaceae,Salix wolfii var. idahoensis,Synonym of Salix wolfii var. idahoensis,Accepted,3/29/2012
1.2,Salicaceae,Salix wolfii var. wolfii,Accepted,Synonym of Salix wolfii var. idahoensis,3/29/2012
1.2,Santalaceae,Arceuthobium tsugense ssp. amabilae,Accepted,Synonym of Arceuthobium tsugense ssp. amabilae,3/29/2012
1.2,Solanaceae,Leucophysalis grandiflora,Accepted,Excluded,3/29/2012
1.2,Solanaceae,Petunia parviflora,Accepted,Synonym of Calibrachoa parviflora,3/29/2012
1.2,Solanaceae,Physalis longifolia var. subglabrata,Accepted,Synonym of Physalis longifolia var. longifolia,3/29/2012
1.2,Solanaceae,Physalis pubescens,Accepted,Synonym of Physalis grisea,3/29/2012
1.2,Solanaceae,Solanum tuberosum,Under evaluation,Accepted,3/29/2012
1.1,Amaranthaceae,Chenopodium chenopodioides,Excluded,Accepted,11/25/2011
1.1,Amaranthaceae,Chenopodium rubrum,Accepted (not terminal),Accepted (terminal),11/25/2011
1.1,Amaranthaceae,Chenopodium rubrum var. humile,Accepted,Synonym of Chenopodium rubrum,11/25/2011
1.1,Amaranthaceae,Chenopodium rubrum var. rubrum,Accepted,Synonym of Chenopodium rubrum,11/25/2011
1.1,Apiaceae,Ammi majus,Accepted,Excluded,11/25/2011
1.1,Asteraceae,Arctotheca calendula,Under evaluation,Accepted,11/25/2011
1.1,Asteraceae,Artemisia ludoviciana ssp. lindleyana,Under evaluation,Accepted,11/25/2011
1.1,Asteraceae,Taraxacum erythrospermum,Synonym of Taraxacum laevigatum,Accepted,11/25/2011
1.1,Boraginaceae,Phacelia pringlei,Accepted,Excluded,11/25/2011
1.1,Brassicaceae,Armoracia rusticana,Accepted,Excluded,11/25/2011
1.1,Ericaceae,Kalmiopsis leachiana,Accepted,Synonym/Accepted,11/25/2011
1.1,Ericaceae,Rhododendron neoglandulosum,Accepted,Synonym of Rhododendron columbianum,11/25/2011
1.1,Euphorbiaceae,Croton setiger,Under evaluation,Accepted,11/25/2011
1.1,Euphorbiaceae,Eremocarpus setigerus,Accepted,Synonym of Croton setiger,11/25/2011
1.1,Fabaceae,Anthyllis vulneraria,Under evaluation,Accepted,11/25/2011
1.1,Fabaceae,Astragalus arthuri,Synonym of Astragalus arthuri,Accepted,11/25/2011
1.1,Fabaceae,Astragalus arthurii,Accepted,Synonym of Astragalus arthuri,11/25/2011
1.1,Fabaceae,Ladeania lanceolata,Under evaluation,Accepted,11/25/2011
1.1,Fabaceae,Psoralidium lanceolatum,Accepted,Synonym of Ladeania lanceolata,11/25/2011
1.1,Fabaceae,Trifolium albopurpureum,Accepted (not terminal),Accepted (terminal),11/25/2011
1.1,Fabaceae,Trifolium albopurpureum var. albopurpureum,Accepted,Synonym of Trifolium albopurpureum,11/25/2011
1.1,Fabaceae,Trifolium albopurpureum var. dichotomum,Accepted,Synonym of Trifolium dichotomum,11/25/2011
1.1,Fabaceae,Trifolium dichotomum,Synonym of Trifolium macraei var. dichotomum,Accepted,11/25/2011
1.1,Fagaceae,Quercus robur,Under evaluation,Accepted,11/25/2011
1.1,Gentianaceae,Centaurium tenuiflorum,Under evaluation,Accepted,11/25/2011
1.1,Iridaceae,Gladiolus communis,Under evaluation,Accepted,11/25/2011
1.1,Isoetaceae,Isoetes orcuttii,Under evaluation,Accepted,11/25/2011
1.1,Limnanthaceae,Limnanthes alba ssp. alba,Accepted,Synonym of Limnanthes alba ssp. alba,11/25/2011
1.1,Limnanthaceae,Limnanthes alba ssp. alba × Limnanthes alba ssp. versicolor,Under evaluation,Accepted,11/25/2011
1.1,Limnanthaceae,Limnanthes gracilis,Accepted,Synonym of Limnanthes alba ssp. gracilis,11/25/2011
1.1,Lycopodiaceae,Lycopodium clavatum,Accepted (not terminal),Accepted (terminal),11/25/2011
1.1,Lycopodiaceae,Lycopodium clavatum var. integrifolium,Accepted,Synonym of Lycopodium clavatum,11/25/2011
1.1,Melanthiaceae,Pseudotrillium rivale,Under evaluation,Accepted,11/25/2011
1.1,Melanthiaceae,Pseudotrillium rivale,Under evaluation,Accepted,11/25/2011
1.1,Melanthiaceae,Trillium rivale,Accepted,Synonym of Pseudotrillium rivale,11/25/2011
1.1,Nyctaginaceae,Abronia umbellata ssp. breviflora,Accepted,Synonym of Abronia umbellata var. breviflora,11/25/2011
1.1,Nyctaginaceae,Abronia umbellata var. breviflora,Under evaluation,Accepted,11/25/2011
1.1,Onagraceae,Epilobium campestre,Under evaluation,Accepted,11/25/2011
1.1,Onagraceae,Epilobium pygmaeum,Accepted,Synonym of Epilobium campestre,11/25/2011
1.1,Orobanchaceae,Euphrasia officinalis,Accepted,Synonym of Euphrasia nemorosa,11/25/2011
1.1,Plantaginaceae,Collinsia latifolia,Under evaluation,Accepted,11/25/2011
1.1,Plantaginaceae,Collinsia torreyi,Accepted,Synonym of Collinsia latifolia,11/25/2011
1.1,Plantaginaceae,Collinsia torreyi var. latifolia,Accepted,Synonym of Collinsia latifolia,11/25/2011
1.1,Poaceae,Achnatherum occidentale ssp. occidentale,Accepted,Excluded,11/25/2011
1.1,Poaceae,Aegilops triuncialis,Accepted (terminal),Accepted (not terminal),11/25/2011
1.1,Poaceae,Aegilops triuncialis var. triuncialis,Under evaluation,Accepted,11/25/2011
1.1,Poaceae,Agrostis canina,Excluded,Accepted,11/25/2011
1.1,Poaceae,Aira caryophyllea var. capillaris,Accepted,Synonym of Aira elegans,11/25/2011
1.1,Poaceae,Aira elegans,Synonym of Aira elegantissima,Accepted,11/25/2011
1.1,Poaceae,Hordeum vulgare,Accepted (terminal),Accepted (not terminal),11/25/2011
1.1,Poaceae,Hordeum vulgare ssp. vulgare,Synonym of Hordeum vulgare,Accepted,11/25/2011
1.1,Poaceae,Leymus condensatus,Synonym of Leymus condensatus,Accepted,11/25/2011
1.1,Poaceae,Muhlenbergia glomerata,Accepted,Synonym of Muhlenbergia mexicana,11/25/2011
1.1,Poaceae,Phalaris arundinacea,Accepted (not terminal),Accepted (terminal),11/25/2011
1.1,Poaceae,Phalaris arundinacea var. arundinacea,Accepted,Synonym of Phalaris arundinacea,11/25/2011
1.1,Poaceae,Phalaris arundinacea var. picta,Accepted,Synonym of Phalaris arundinacea,11/25/2011
1.1,Poaceae,Poa pratensis,Accepted (not terminal),Accepted (terminal),11/25/2011
1.1,Poaceae,Poa pratensis ssp. agassizensis,Accepted,Synonym of Poa pratensis,11/25/2011
1.1,Poaceae,Poa pratensis ssp. irrigata,Accepted,Synonym of Poa pratensis,11/25/2011
1.1,Poaceae,Poa pratensis ssp. latifolia,Accepted,Synonym of Poa pratensis,11/25/2011
1.1,Poaceae,Poa pratensis ssp. pratensis,Accepted,Synonym of Poa pratensis,11/25/2011
1.1,Poaceae,Poa trivialis,Accepted (not terminal),Accepted (terminal),11/25/2011
1.1,Poaceae,Poa trivialis ssp. trivialis,Accepted,Synonym of Poa trivialis,11/25/2011
1.1,Poaceae,Vulpia octoflora,Accepted (not terminal),Accepted (terminal),11/25/2011
1.1,Poaceae,Vulpia octoflora var. hirtella,Accepted,Synonym of Vulpia octoflora,11/25/2011
1.1,Poaceae,Vulpia octoflora var. octoflora,Accepted,Synonym of Vulpia octoflora,11/25/2011
1.1,Polemoniaceae,Gilia tenerrima,Accepted,Synonym of Lathrocasis tenerrima,11/25/2011
1.1,Polemoniaceae,Lathrocasis tenerrima,Under evaluation,Accepted,11/25/2011
1.1,Polygonaceae,Eriogonum calcareum,Under evaluation,Accepted,11/25/2011
1.1,Polygonaceae,Eriogonum crosbyae,Accepted (terminal),Accepted (not terminal),11/25/2011
1.1,Polygonaceae,Eriogonum crosbyae var. crosbyae,Under evaluation,Accepted,11/25/2011
1.1,Polygonaceae,Eriogonum crosbyae var. mystrium,Under evaluation,Accepted,11/25/2011
1.1,Polygonaceae,Eriogonum ochrocephalum var. calcareum,Accepted,Synonym of Eriogonum calcareum,11/25/2011
1.1,Polygonaceae,Eriogonum prociduum var. prociduum,Accepted,Synonym of Eriogonum prociduum,11/25/2011
1.1,Primulaceae,Trientalis arctica,Accepted,Synonym of Trientalis europaea ssp. arctica,11/25/2011
1.1,Primulaceae,Trientalis europaea,Synonym of Trientalis europaea,Accepted,11/25/2011
1.1,Primulaceae,Trientalis europaea ssp. arctica,Synonym of Trientalis europaea ssp. arctica,Accepted,11/25/2011
1.1,Rhamnaceae,Ceanothus gloriosus,Excluded,Accepted,11/25/2011
1.1,Rosaceae,Pyrus pyrifolia,Under evaluation,Accepted,11/25/2011
1.1,Saxifragaceae,Saxifraga sibthorpii,Accepted,Excluded,11/25/2011
1.1,Saxifragaceae,Saxifraga tridactylites,Under evaluation,Accepted,11/25/2011
